,title,classe,labels,title_tokenized,title_string
0,"Pérennisation des systèmes d’adduction d’eau potable : Etude du cas de la commune rurale de Tolongoina du District d’Ikongo, région Vatovavy Fitovinany",Environnement et Ressources Naturelles,1,"['pérennisation', 'système', 'adduction', 'eau', 'potable', 'etude', 'cas', 'commune', 'rural', 'tolongoina', 'district', 'ikongo', 'région', 'vatovavy', 'fitovinany']",pérennisation système adduction eau potable etude cas commune rural tolongoina district ikongo région vatovavy fitovinany
1,"UTILISATION DES TECHNIQUES TOPOGRAPHIQUES POUR LE DEVELOPPEMENT DU RESEAU D’ADDUCTION D’EAU POTABLEDANS LE FOKONTANY D’ANDRIAMPAMAKY, COMMUNE RURALE D’AMBOHITRONY, DISTRICT DE MANJAKANDRIANA, REGION ANALAMANGA.",Environnement et Ressources Naturelles,1,"['utilisation', 'technique', 'topographique', 'developpement', 'reseau', 'adduction', 'eau', 'potabledans', 'fokontany', 'andriampamaky', 'commune', 'rural', 'ambohitrony', 'district', 'manjakandriana', 'region', 'analamanger']",utilisation technique topographique developpement reseau adduction eau potabledans fokontany andriampamaky commune rural ambohitrony district manjakandriana region analamanger
2,Conception d’un Programme d’Engagement Environnemental (PREE) d’un projet d’Add uction d’eau potable dans la commune de Bongatsara,Environnement et Ressources Naturelles,1,"['conception', 'programme', 'engagement', 'environnemental', 'pree', 'projet', 'add', 'uction', 'eau', 'potable', 'commune', 'bongatsara']",conception programme engagement environnemental pree projet add uction eau potable commune bongatsara
3,Renforcement de production en eau potable de la Zone Ouest d’Antananarivo par le biais des forages et avec implantation de la télégestion sur la station de pompage,Environnement et Ressources Naturelles,1,"['renforcement', 'production', 'eau', 'potable', 'zone', 'ouest', 'antananarivo', 'biais', 'forage', 'implantation', 'télégestion', 'station', 'pompage']",renforcement production eau potable zone ouest antananarivo biais forage implantation télégestion station pompage
4,MISE EN CONFORMITE ENVIRONNEMENTALE DU SYSTEME D'ADDUCTION D'EAU POTABLE DE LA COMMUNE URBAINE D'ANKAZOBE,Environnement et Ressources Naturelles,1,"['mise', 'conformite', 'environnemental', 'systeme', 'dadduction', 'deau', 'potable', 'commune', 'urbaine', 'dankazobe']",mise conformite environnemental systeme dadduction deau potable commune urbaine dankazobe
5,"EXTENSION DE L’AÉROPORT DE TOLIARA EN VUE DE RÉCEPTION DE L’AÉRONEF DE TYPE B777-300 ER, AÉROGARE ET AIRES AÉRONAUTIQUES",Bâtiments et Constructions,0,"['extension', 'aéroport', 'toliara', 'vue', 'réception', 'aéronef', 'type', 'aérogare', 'aire', 'aéronautiques']",extension aéroport toliara vue réception aéronef type aérogare aire aéronautiques
6,"AMENAGEMENT DE L’AERODROME D’ANKARANA POUR RECEVOIR L’ATR 72 -500 A PLEINE CHARGE, REGION DIANA",Bâtiments et Constructions,0,"['amenagement', 'aerodrome', 'ankarana', 'recevoir', 'atr', 'pleine', 'charge', 'region', 'diana']",amenagement aerodrome ankarana recevoir atr pleine charge region diana
7,"ETUDE DE L’AMÉNAGEMENT ET DE L’EXTENSION DE L’AÉROPORT DE TOLAGNARO POUR LA RÉCEPTION DE L’AIRBUS A330-300 A PLEINE CHARGE, RÉGION D’ANOSY",Bâtiments et Constructions,0,"['etude', 'aménagement', 'extension', 'aéroport', 'tolagnaro', 'réception', 'airbus', 'pleine', 'charge', 'région', 'anosy']",etude aménagement extension aéroport tolagnaro réception airbus pleine charge région anosy
8,ETUDE ET PERSPECTIVE DU TRANSPORT AERIEN SUR LE TERRITOIRE MALAGASY,Bâtiments et Constructions,0,"['etude', 'perspectif', 'transport', 'aerien', 'territoire', 'malagasy']",etude perspectif transport aerien territoire malagasy
9,CONTRIBUTION A L’ELABORATION DU SCHEMA D’AMENAGEMENT COMMUNAL TENANT EN COMPTE DES CONTEXTES REGIONAUX : cas de la SECHERESSE dans la COMMUNE RURALE DE FOTADREVO,Environnement et Ressources Naturelles,1,"['contribution', 'elaboration', 'schema', 'amenagement', 'communal', 'compte', 'contexte', 'regionaux', 'cas', 'secheresse', 'commune', 'rural', 'fotadrevo']",contribution elaboration schema amenagement communal compte contexte regionaux cas secheresse commune rural fotadrevo
10,CREATION D’UNE ZONE D’AMENAGEMENT CONCERTE EN VUE DE L’EXTENSION DE LA VILLE D’IMERINTSIATOSIKA,Environnement et Ressources Naturelles,1,"['creation', 'zone', 'amenagement', 'concerte', 'vue', 'extension', 'ville', 'imerintsiatosika']",creation zone amenagement concerte vue extension ville imerintsiatosika
11,CONTRIBUTION A L’ETUDE DU CONFORT THERMIQUE A MADAGASCAR DANS L’APPROCHE DE L’ARCHITECTURE BIOCLIMATIQUE,Environnement et Ressources Naturelles,1,"['contribution', 'etude', 'confort', 'thermique', 'madagascar', 'approche', 'architecture', 'bioclimatique']",contribution etude confort thermique madagascar approche architecture bioclimatique
12,RESIDENCE ECOLOGIQUE D’AMBODIATAFANA CONTRE-PROJET ET AMELIORATION,Environnement et Ressources Naturelles,1,"['residence', 'ecologiqu', 'ambodiatafana', 'contre', 'projet', 'amelioration']",residence ecologiqu ambodiatafana contre projet amelioration
13,"PROPOSITION D’UN SCHEMA D’AMENAGEMENT COMMUNAL DE LA COMMUNE RURALE D’AMBOVOMBE CENTRE, DISTRICT DE MANANDRIANA, REGION D’AMORON’I MANIA",Environnement et Ressources Naturelles,1,"['proposition', 'schema', 'amenagement', 'communal', 'commune', 'rural', 'ambovombe', 'centre', 'district', 'manandriana', 'region', 'amoron', 'mania']",proposition schema amenagement communal commune rural ambovombe centre district manandriana region amoron mania
14,HYDRAULIQUE FLUVIALE ET SES APPLICATIONS,Environnement et Ressources Naturelles,1,"['hydraulique', 'fluviale', 'application']",hydraulique fluviale application
15,ETUDES POUR LA RELOCALISATION DU PORT FLUVIAL DE MAHANORO,Environnement et Ressources Naturelles,1,"['etude', 'relocalisation', 'port', 'fluvial', 'mahanoro']",etude relocalisation port fluvial mahanoro
16,"ETUDE D’AMENAGEMENT HYDROAGRICOLE DES BAS-FONDS D’ANDRANOTAKATRA, ET DES PLATEAUX D’AMPANDRANA DANS LA COMMUNE RURALE D’ANTSAHALAVA, REGION BONGOLAVA",Environnement et Ressources Naturelles,1,"['etude', 'amenagement', 'hydroagricole', 'fonds', 'andranotakatra', 'plateau', 'ampandrana', 'commune', 'rural', 'antsahalava', 'region', 'bongolava']",etude amenagement hydroagricole fonds andranotakatra plateau ampandrana commune rural antsahalava region bongolava
17,"ETUDE DE REHABILITATION, SELON NIHYCRI, DES INFRASTRUCTURES HYDRO AGRICOLES DU PERIMETRE IRRIGUE DE SOAVINA RIVE DROITE DANS LE FOKONTANY SOAVINA, COMMUNE RURALE SOAVINA, DISTRICT AMBATOFINANDRAHANA, REGION AMORON’I MANIA",Environnement et Ressources Naturelles,1,"['etude', 'rehabilitation', 'nihycri', 'infrastructure', 'hydro', 'agricoles', 'perimetre', 'irriguer', 'soavina', 'rive', 'droite', 'fokontany', 'soavina', 'commune', 'rural', 'soavina', 'district', 'ambatofinandrahana', 'region', 'amoron', 'mania']",etude rehabilitation nihycri infrastructure hydro agricoles perimetre irriguer soavina rive droite fokontany soavina commune rural soavina district ambatofinandrahana region amoron mania
18,ETUDE DE REHABILITATION DES RESEAUX D’AMENAGEMENT HYDROAGRICOLE DANS LES PERIMETRES IRRIGUES D’IFANJA NORD,Environnement et Ressources Naturelles,1,"['etude', 'rehabilitation', 'reseau', 'amenagement', 'hydroagricole', 'perimetre', 'irrigue', 'ifanja', 'nord']",etude rehabilitation reseau amenagement hydroagricole perimetre irrigue ifanja nord
19,"ETUDE DU PROJET D’AMENAGEMENT HYDROAGRICOLE DU MICRO PERIMETRE IRRIGUE DE IFOTAKY, COMMUNE RURALE ANANDRAVY, DISTRICT DE VONDROZO, REGION ATSIMO ANTSINANANA",Environnement et Ressources Naturelles,1,"['etude', 'projet', 'amenagement', 'hydroagricole', 'micro', 'perimetre', 'irriguer', 'ifotaky', 'commune', 'rural', 'anandravy', 'district', 'vondrozo', 'region', 'atsimo', 'antsinanana']",etude projet amenagement hydroagricole micro perimetre irriguer ifotaky commune rural anandravy district vondrozo region atsimo antsinanana
20,ÉTUDE D’ANTICIPATION DES TRAVAUX DU PROJET D’AMÉNAGEMENT HYDROAGRICOLE DU SECTEUR MANONGARIVO DANS LA ZONE D’EXTENSION DU PÉRIMÈTRE HYDROAGRICOLE DE BAS MANGOKY,Environnement et Ressources Naturelles,1,"['étude', 'anticipation', 'travail', 'projet', 'aménagement', 'hydroagricole', 'secteur', 'manongarivo', 'zone', 'extension', 'périmètre', 'hydroagricole', 'mangoky']",étude anticipation travail projet aménagement hydroagricole secteur manongarivo zone extension périmètre hydroagricole mangoky
21,Aménagement hydroagricole pour la production de riz dans la commune rurale d’Ambohijanaka,Environnement et Ressources Naturelles,1,"['aménagement', 'hydroagricole', 'production', 'riz', 'commune', 'rural', 'ambohijanaka']",aménagement hydroagricole production riz commune rural ambohijanaka
22,"STABILITE DE TALUS, ETUDE DU CAS DE BARRAGE EN TERRE D’AMBATOVY",Bâtiments et Constructions,0,"['stabilite', 'talus', 'etude', 'cas', 'barrage', 'terre', 'ambatovy']",stabilite talus etude cas barrage terre ambatovy
23,ETUDE DE LA RECONSTRUCTION D’UN BARRAGE DU SITE HYDROELECTRIQUE D’ANDOHARIANA – GUIDE POUR L’OPTIMISATION DE L’ANCRAGE DE FONDATION EN ROCHER,Bâtiments et Constructions,0,"['etude', 'reconstruction', 'barrage', 'site', 'hydroelectrique', 'andohariana', 'guide', 'optimisation', 'ancrage', 'fondation', 'rocher']",etude reconstruction barrage site hydroelectrique andohariana guide optimisation ancrage fondation rocher
24,GUIDE DES OPERATEURS SUR L’EXPORTATION DES BIJOUX,Industrie et Transformation des Matériaux,3,"['guide', 'operateur', 'exportation', 'bijoux']",guide operateur exportation bijoux
25,LA BALLE DE RIZ : UNE BIOMASSE PAR EXCELLENCE POUR LE DEVELOPPEMENT DURABLE A MADAGASCAR,Énergie,6,"['balle', 'riz', 'biomasse', 'excellence', 'developpement', 'durable', 'madagascar']",balle riz biomasse excellence developpement durable madagascar
26,VALORISATION DES DECHETS LIGNO-CELLULOSIQUES : BALLE DE RIZ ET SCIURE DE BOIS,Énergie,6,"['valorisation', 'dechet', 'ligno', 'cellulosique', 'balle', 'riz', 'sciur', 'bois']",valorisation dechet ligno cellulosique balle riz sciur bois
27,VALORISATION ENERGETIQUE DES RESIDUS AGROFORESTIERS,Énergie,6,"['valorisation', 'energetiqu', 'residu', 'agroforestier']",valorisation energetiqu residu agroforestier
28,CONTRIBUTION A LA VALORISATION DU NICOTIANA TABACUM EN BIO INSECTICIDE,Énergie,6,"['contribution', 'valorisation', 'nicotiana', 'tabacum', 'bio', 'insecticide']",contribution valorisation nicotiana tabacum bio insecticide
29,Production de Biocarburant et de briquette combustible à partir des phragmites : Cas de la commune rurale d’Ambohitrony,Énergie,6,"['production', 'biocarburant', 'briquette', 'combustible', 'partir', 'phragmite', 'cas', 'commune', 'rural', 'ambohitrony']",production biocarburant briquette combustible partir phragmite cas commune rural ambohitrony
30,Valorisation de l’huile végétale Jatropha curcas en biocarburant,Énergie,6,"['valorisation', 'huile', 'végétal', 'jatropha', 'curca', 'biocarburer']",valorisation huile végétal jatropha curca biocarburer
31,Tropaeolum majus,Sciences et technologie industrielles,5,"['tropaeolum', 'maju']",tropaeolum maju
32,"Contribution à l’étude, réalisation et amélioration d’une unité de production d’éthanol",Sciences et technologie industrielles,5,"['contribution', 'étude', 'réalisation', 'amélioration', 'unité', 'production', 'éthanol']",contribution étude réalisation amélioration unité production éthanol
33,ESSAI DE STABILISATION DE LA LATERITE PAR LA BIOTECHNOLOGIE COUPLEE PAR UNE CORRECTION GRANULOMETRIQUE (CAS DE LA LATERITE DE VONTOVORONA),Sciences et technologie industrielles,5,"['essai', 'stabilisation', 'laterite', 'biotechnologie', 'couplee', 'correction', 'granulometrique', 'cas', 'laterite', 'vontovorona']",essai stabilisation laterite biotechnologie couplee correction granulometrique cas laterite vontovorona
34,MODELISATION DES TISSUS MOUS ET DE LA SONDE POUR AMELIORER LE RESULTAT D’UN EXAMEN ECHOGRAPHIQUE,Sciences et technologie industrielles,5,"['modelisation', 'tissus', 'mous', 'sonde', 'ameliorer', 'resultat', 'examen', 'echographique']",modelisation tissus mous sonde ameliorer resultat examen echographique
35,CONTRIBUTION A LA VALORISATION DU GREVILLEA BANKSII DANS LE TANNAGE VEGETAL,Sciences et technologie industrielles,5,"['contribution', 'valorisation', 'grevillea', 'banksii', 'tannage', 'vegetal']",contribution valorisation grevillea banksii tannage vegetal
36,"Etude du paramètre Température pour une production d’Hydromel, utilisation de la technologie ARDUINO",Sciences et technologie industrielles,5,"['etude', 'paramètr', 'température', 'production', 'hydromel', 'utilisation', 'technologie', 'arduino']",etude paramètr température production hydromel utilisation technologie arduino
37,EXTRACTION DES FLAVONOIDES DE FEUILLE DE Schinus terebinthifolius Raddi et etude de leur activité antioxydante,Sciences et technologie industrielles,5,"['extraction', 'flavonoide', 'feuille', 'schinu', 'terebinthifoliu', 'raddi', 'etude', 'activité', 'antioxydant']",extraction flavonoide feuille schinu terebinthifoliu raddi etude activité antioxydant
38,CONTRIBUTION A L’ETUDE COMPARATIVE DES CHARBONS ACTIFS OBTENUS A PARTIR DES COQUES DE NOIX DE COCO ET DE NOIX DE PALMIER SUIVIE DE L’ETUDE DE FAISABILITÉ DU P ROJET DE PRODUCTION A MAROFARIHY -MANAKARA,Sciences et technologie industrielles,5,"['contribution', 'etude', 'comparatif', 'charbon', 'actif', 'obtenus', 'partir', 'coque', 'noix', 'coco', 'noix', 'palmier', 'suivie', 'etude', 'faisabilité', 'rojet', 'production', 'marofarihy', 'manakara']",contribution etude comparatif charbon actif obtenus partir coque noix coco noix palmier suivie etude faisabilité rojet production marofarihy manakara
39,Valorisation du Physalis peruviana L. ou Voanantsindrana,Sciences et technologie industrielles,5,"['valorisation', 'physalis', 'peruviana', 'voanantsindrana']",valorisation physalis peruviana voanantsindrana
40,CONCEPTION D’UN FORAGE DANS LA ZONE MANAMBOLO -TSIRIBIHINA DU BASSIN DE MORONDAVA NORD,Environnement et Ressources Naturelles,1,"['conception', 'forage', 'zone', 'manambolo', 'tsiribihina', 'bassin', 'morondava', 'nord']",conception forage zone manambolo tsiribihina bassin morondava nord
41,RECOLEMENT GEOMETRIQUE ROUTIER VIA PHOTOGRAMMETRIE PAR UAV,Environnement et Ressources Naturelles,1,"['recolement', 'geometrique', 'routier', 'photogrammetrie', 'uav']",recolement geometrique routier photogrammetrie uav
42,APPLICATION CARTOGRAPHIQUE POUR LA QOS DU RESEAU MOBILE LTE PAR APPROCHE DU CROWDSOURCING SOUS ANDROID,Environnement et Ressources Naturelles,1,"['application', 'cartographique', 'reseau', 'mobile', 'lte', 'approche', 'crowdsourcing', 'sou', 'android']",application cartographique reseau mobile lte approche crowdsourcing sou android
43,La pollution de l’eau de la rivière Andromba Vontovorona : analyse physico – chimique et proposition de solution,Industrie et Transformation des Matériaux,3,"['pollution', 'eau', 'rivière', 'andromba', 'vontovorona', 'analyse', 'physico', 'chimique', 'proposition', 'solution']",pollution eau rivière andromba vontovorona analyse physico chimique proposition solution
44,"ÉTUDE DE LA DISTRIBUTION DES AÉROSOLS, LIÉE AUX FEUX DE LA BIOMASSE A MADAGASCAR PAR OBSERVATIONS SATELLITAIRES",Industrie et Transformation des Matériaux,3,"['étude', 'distribution', 'aérosol', 'lier', 'feu', 'biomasse', 'madagascar', 'observation', 'satellitaires']",étude distribution aérosol lier feu biomasse madagascar observation satellitaires
45,ESTERIFICATION BETWEEN CITRIC ACID MOLECULES AND Adonsonia grandidieri – APPLICATIONS IN PERFUME AND ITS BY-PRODUCTS USED AS SUPPORTS FOR THE SYNTHESIS OF CITRIC ACID POLYMERS,Industrie et Transformation des Matériaux,3,"['esterification', 'between', 'citric', 'acid', 'molecule', 'and', 'adonsonia', 'grandidieri', 'application', 'perfume', 'and', 'products', 'used', 'support', 'for', 'the', 'synthesis', 'citric', 'acid', 'polymer']",esterification between citric acid molecule and adonsonia grandidieri application perfume and products used support for the synthesis citric acid polymer
46,ETUDE DE LA COMPOSITION CHIMIQUE AINSI QUE DE L’ACTIVITE ANTIMICROBIENNE ET ANTIOXYDANTE DE L’HUILE ESSENTIELLE AINSI QUE DES EXTRAITS DE HAZOMALANIA VOYRONII,Industrie et Transformation des Matériaux,3,"['etude', 'composition', 'chimique', 'activite', 'antimicrobienne', 'antioxyder', 'huile', 'essentielle', 'extrait', 'hazomalania', 'voyronii']",etude composition chimique activite antimicrobienne antioxyder huile essentielle extrait hazomalania voyronii
47,SYNTHESE ET TEST CATALYTIQUE D U CATALYSEUR HETEROGENE REGENERABLE REDUCTEUR DE GAZ NO x A BASE DU FER DE PO UZZOLAN E NATUREL ET DU PN-POLYMERE NOIR D’ACIDE CITRIQUE,Industrie et Transformation des Matériaux,3,"['synthese', 'test', 'catalytique', 'catalyseur', 'heterogen', 'regenerabl', 'reducteur', 'gaz', 'base', 'fer', 'uzzolan', 'naturel', 'polymere', 'noir', 'acide', 'citrique']",synthese test catalytique catalyseur heterogen regenerabl reducteur gaz base fer uzzolan naturel polymere noir acide citrique
48,Réduction de la teneur en bitume dans l’enrobé par ajout de résine de pin,Industrie et Transformation des Matériaux,3,"['réduction', 'teneur', 'bitume', 'enrobé', 'ajout', 'résine', 'pin']",réduction teneur bitume enrobé ajout résine pin
49,METHODES D’ANALYSES PHYSICO-CHIMIQUES DES EAUX USEES INDUSTRIELLES APPLIQUEES AU LABORATOIRE CHIMIE MINERALE VONTOVORONA,Industrie et Transformation des Matériaux,3,"['methode', 'analyse', 'physico', 'chimique', 'eau', 'useer', 'industriel', 'appliqueer', 'laboratoire', 'chimie', 'mineral', 'vontovorona']",methode analyse physico chimique eau useer industriel appliqueer laboratoire chimie mineral vontovorona
50,CONTRIBUTION A L’ETUDE AGROCLIMATOLOGIQUE DE LA CULTURE DU SORGHO DANS LES REGIONS D’ANDROY&ANOSY EN UTILISANT LE MODELE CROPWAT 8.0,Environnement et Ressources Naturelles,1,"['contribution', 'etude', 'agroclimatologique', 'culture', 'sorgho', 'region', 'androy', 'anosy', 'utiliser', 'modele', 'cropwat']",contribution etude agroclimatologique culture sorgho region androy anosy utiliser modele cropwat
51,PREVISION DE LA SECHERESSE AU NORD OUEST DE MADAGASACAR,Environnement et Ressources Naturelles,1,"['prevision', 'secheresse', 'nord', 'ouest', 'madagasacar']",prevision secheresse nord ouest madagasacar
52,DIAGNOSTIC DU COMPORTEMENT DES VARIATIONS BRUSQUES DES TEMPERATURES EXTREMES EN PERIODE D’HIVER A ANTANANARIVO,Environnement et Ressources Naturelles,1,"['diagnostic', 'comportement', 'variation', 'brusque', 'temperature', 'extreme', 'periode', 'hiver', 'antananarivo']",diagnostic comportement variation brusque temperature extreme periode hiver antananarivo
53,Introduction à l’étude des impacts des évolutions climatiques sur l’Agriculture en évoquant les réalités agro-climatiques : cas de la région de Haute-Matsiatra,Environnement et Ressources Naturelles,1,"['introduction', 'étude', 'impact', 'évolution', 'climatique', 'agriculture', 'évoquer', 'réalité', 'agro', 'climatique', 'cas', 'région', 'haute', 'matsiatra']",introduction étude impact évolution climatique agriculture évoquer réalité agro climatique cas région haute matsiatra
54,CARACTERISATION DES ZONES CLIMATIQUES DE LA REGION D’ALAOTRA MANGORO,Environnement et Ressources Naturelles,1,"['caracterisation', 'zone', 'climatique', 'region', 'alaotra', 'mangoro']",caracterisation zone climatique region alaotra mangoro
55,Modélisation du rendement de maïs dans la région menabe sous le climat actuel et le changement climatique avec APSIM,Environnement et Ressources Naturelles,1,"['modélisation', 'rendement', 'maïs', 'région', 'menab', 'sou', 'climat', 'actuel', 'changement', 'climatique', 'apsim']",modélisation rendement maïs région menab sou climat actuel changement climatique apsim
56,"CONTRIBUTION de la MODÉLISATION AGRO METEOROLOGIQUE DES CULTURES DE SORGHO, MANIOC, MAÏS, POUR PROMOUVOIR",Environnement et Ressources Naturelles,1,"['contribution', 'modélisation', 'agro', 'meteorologique', 'culture', 'sorgho', 'manioc', 'maïs', 'promouvoir']",contribution modélisation agro meteorologique culture sorgho manioc maïs promouvoir
